clean_text,label
"З людьми, як з вином: запаморочити голову можуть усі, але от щоб на ранок не було нудоти — таких одиниці...",0
не знаю чи я подякувала за листівки )) бо я щойно знайшла в конверті малесеньку записку,0
тримаю оборону,0
Хто це?),0
- Програмісти як коали. - Чому? - Ну цей ваш евкаліпт.... - Що? JavaScript?,0
Подорожі в часі реальні.,0
подивилися 2 сезони серіалу Fall. просто бубочка. щось середнє між True detective i Bron/Broen. ну і неперевершена Gillian Anderson,0
"- зазвичай революційні міністри гинули, згадати всяких Робесп'єрів з Маратами. - але ця ситуація - не революція, може не їстиме своїх дітей.",0
"сьогодні на англійські дійшла висновку, що я кофеїновий наркоман.",0
"В общєм, вже місяць я без кави та алкоголю. Політ нормальний)",0
а потім я заснула знову й мені снилося що я мстила,0
з часом може згодитися,0
і на ортопедичну,0
У Львові день змився з вечором.,0
"моя мама думає,що якби в мене був мужик, я б не тинялась ночами по різним тусам.наївна",1
"Випила кави, випила чашку води, з'їла пару аскорбінок - баланс відновлено.",0
"та в мене магістерська ще до того всього, я про то вже мовчу просто.",0
Зараз би ніхуя не розібратись і претензії кидати,3
"хм. якщо купила, то там все просто, як написано ""цей квиток є підставою для проїзду"" - не треба міняти, а як ""не є"" - то треба",0
"Мабуть, у лютому писатиму про історію Ун-та Св. Володимира (КНУ ім. Шевченка), а поки не маю матеріалів, попрацюю з вашою статтею",0
*злий-злий сміх*,0
добраніч),0
"У мене є знайомий, який по фото заходу сонця сказав мою адресу Квартиру теж",0
"в останньому розділі, присвяченому стартапам, пишу, що моя система підкорить світ, ібо маркетингова стратегія зробить її монопольною, принаймні на вітчизняному ринку, і я не жартую, шоб ви розуміли я кидаю цей док керівничці, отакі-то справи, скоро всі забудуть про Мауску, лолес.",0
"ти текст прочитав, чи по заголовку судиш?))",0
тобто? навтрачалися вже сьогодні..,0
"Нажаль, це лише прояви повної втоми. Було б частіше, був би хоч зад менше(",0
спасибі))),0
три з половиною години,0
Перший для Дейна?),0
"особисто він же конкретних людей образив,далі можна казати лише про збурення громадської думки..пані Ольга його простила, тепер ми",0
та ладно в мене просто беззвучний стояв,0
бо ідіот він у мене.. не береже себе і мене заодно..,1
"А поки посплю кілька годин і знову писати про вибори, геноциди і перекладати свої три переклади, які мала перекласти ще тиждень тому.",0
Прийміть до клубу,0
"або нароблять шуму, напишуть у всіх газетах і закопають тихенько",3
до душі всі його пісні,0
Як вони це начісуюють?,0
Перебирав старі листи і листівки і знайшов ще стікери! Р-РАДІСТЬ!,0
політ над гніздом зозулі слухав/читав?,0
"він трохи дивно виглядає, як на мене) але нестандартно",0
я після 19-ї можу),0
хімка((,0
"згадала,як один водій розповідав мені,що ""із жиріком пить нормально,він тільки на публіку випендрюється""",0
Менв мабуть не вдасться))),0
-го під ковдру -ну давай *починає роздягатись* -*дикий ржач з моєї сторони*,0
*вже допиваю,0
"дякую, буду пробувати",0
"от чому весь тві кличе на пиво/каву коли в мене робочий.чому в вихідні ніхто не кличе? тепер буду кожного вихідного кликати,а ви не зможете.",3
Спав. Погано стало. Йду знову спати...,0
"Це що, геніальні фрази методичок з медицини?",5
"На Новому Каналі такий качіствінний ужастік йде, я аж здивована. Правда хз як називається. Тут бабушка по стелі лазить.",0
абажаю ваші діалоги,0
"кажуть, що да. + готують групу пєрєхвата",0
"Ага, руці догняться до пупця?)))",0
Не бачу причин не приєднатися! Многая літа! RT : І я вітаю з ДН. :) Шлю найщиріші вітання. :),0
пишу петицію порошенку :),0
спасибі за чудову компані,0
"знаєте такий фокус? підставляєш малюнок до дзеркала і бачиш.... яке все криве, не симетричне і вежі похилилися...=))",0
"я кави не п'ю, тільки чай або воду))))",0
Нічна столиця чарівна.Не втомлююсь в цьому переконуватись.,0
"Зайшла в Брокард. Відвикла від цих цін. Востаннє купувала рівно рік тому, бо був сертифікат на днюху від колег((",0
"от мене приваблюють ніки типу ""киця, блять"" або ""конопля, йопта"" може і мені записатися ""згоріла нахуй"" :D",0
"не розумію. Ти ж так не вважаєш, то чого ти переймаєшся?)",0
обіймаю міцно),0
Ого. Прокинулася,0
а якшо у вас є майонез...,0
приснилася версія нових „Мисливців на привидів“ з купою сексистських жартів О_о,0
"о, це прикольно, але з погодою таки не фарт",0
"іще - вже не те, щоби смішно, - бісить, коли ""соціальне"" так само вживають замість ""дешеве"" або ""умовно безкоштовне""",3
"і справді, хто ж то б за мене писав",0
"Загалом доїхала норм, але було би ще крутіше, якби не довелось за собою чужу тьотіньку прицепом тягати.",3
А в нас їжа не освячена. Але всеодно смакує.,0
у мене з талією і грудьми проблєма,0
"Well, я міг би не єбланити як курвега весь вечір, і не сидіти до 4 ранку читаючи нормально теорфонетику і єбошачи толком. ТА НЄЄЄ, ЗОЧЄМ, ПИСАТИ КОНСПЄКТИ ПРЯМО НА ПАРІ ТАКИЙ ФАН, ШО НАПИСАВ ЗРАЗУ ВІДПОВІВ. Єбанашка, blyat’.",3
"Хей, підтримуйте, ми знаємо за що боремося!",0
"ще ніби вчора дивилась з ним сімпсони і купувала втіхаря мівіну, а тепер він розповідає про свою колишню і пікапить твою найкращу подругу.",0
"як тіки стане ясно,що особисто Януковичі не здатні гарантувати безпеку і лад олігархам і силовикам, ті кинуться до кума Путіна",3
"І як совенятко, вижило-виросло?",0
"Курсова ще не написана, а вже уявляю як і чим її обмиватиму.",0
"курсова, пишись! пишись, кажу, курва! а ви, статті, дописуйтесь....бльо, це ж так схоже на маразм?",4
"слухай дощі замість новин - найкраще, що можна порадити",0
"абсолютно жахливий день ніби чорна смуга, накладена на іншу чорну смугу перетворилась на середу",3
шукай там з мамою=)),0
А зараз би вина і душевної розмови.,0
"о, мудрі думки..",0
