"text";"label";"source"
"О, який же ти розумник! Мабуть, Нобелівську премію отримаєш за цю геніальну думку!";"5";""
"Ну звісно, хто б ще міг так круто все зіпсувати, крім тебе!";"5";""
"Молодець! Так старанно вдається бути найгіршим у всьому.";"5";""
"Ой, та ти точно винайшов велосипед заново — невже світ ще не готовий до твоєї геніальності?";"5";""
"Неймовірно, як ти вмієш бути таким корисним… для поламаного інтернету.";"5";""
"Твої думки такі глибокі, що впадають у кому ще до першого слова.";"5";""
"О, звичайно, без твоїх непотрібних коментарів ми б ніколи не сумували.";"5";""
"Вражає, як майстерно ти перетворюєш будь-яку розмову на фарс.";"5";""
"Дякую, що нагадав, як не варто думати перед тим, як говорити.";"5";""
"Ти – живий доказ, що інтернет витримує будь-яке лайно.";"5";""
"Чудово, коли хтось так наполегливо прагне бути найгіршим.";"5";""
"Твоє вміння псувати настрій безцінне — прямий талант!";"5";""
"Нічого собі, це ж справжня прикраса будь-якого провалу.";"5";""
"Твої поради такі цінні, як старий пакет із супермаркету.";"5";""
"Вражаюче, як ти вмієш бути настільки зайвим у будь-якій темі.";"5";""
"Щось мені підказує: ти ходяча енциклопедія дурості.";"5";""
"Твоє вміння виглядати смішно заслуговує на окрему премію.";"5";""
"Цікаво, ти сам замислювався, чому тобі ніхто не вірить?";"5";""
"Твоє бажання вгвинтити дурнючище в будь-яку тему безмежне.";"5";""
"Перед твоїми «геніальними» ідеями навіть анекдоти бліднуть.";"5";""
"Справжній профі у створенні купи сміття з повітря.";"5";""
"Усе одно ніхто не слухає, але твоя наполегливість вражає!";"5";""
"Як приємно спостерігати, як ти старанно ламаєш будь-яку логіку.";"5";""
"О, який ти прогресивний мислитель! Шкода, що прогрес у тебе зупинився ще в дитсадку.";"5";""
"Твої ідеї просто неймовірні — якби їх хтось нарешті знайшов корисними.";"5";""
"Вражений тим, як ти вмієш бути головним фейлом дня.";"5";""
"Ніхто так не натягує на себе халтуру, як ти — справжній майстер.";"5";""
"Твої думки такі глибокі… як калюжа після дощу.";"5";""
"Починаю вірити, що твій мозок працює в економ-режимі.";"5";""
"Вітаю, ти щойно встановив рекорд з бездарності.";"5";""
"Твоє вміння все зіпсувати заслуговує окремої премії.";"5";""
"Як мило спостерігати твою безмежну експертизу в провалах.";"5";""
"Твоя логіка така міцна… немов картонний будиночок.";"5";""
"Ніколи не думав, що можна бути таким вражаюче непродуктивним.";"5";""
"Я просто в захваті від твоїх незаперечних доказів своєї компетентності.";"5";""
"Ти вмієш видавати себе за генія, але без диплома та жодної користі.";"5";""
"Найкраще в тобі — це твоя здатність нічого не робити.";"5";""
"Твої коментарі такі глибокі, що ховаються в пустоті.";"5";""
"Ось це талант — встигати не встигати.";"5";""
"Ти віртуоз сарказму… щодо себе.";"5";""
"Це неймовірно, як ти вмієш бути одночасно голосним і нікчемним.";"5";""
"Твоя поява робить день яскравішим… через твою порожнечу.";"5";""
"Твою критику слухати — справжній подарунок для баражалів.";"5";""
"Твоє відчуття гумору вражає… як порожній капелюх фокусника.";"5";""
"Мені подобається, як ти рікаєш під вагою власного незнання.";"5";""
"Ти справжній художник — намалював собі купу проблем.";"5";""
"Твоя логіка така міцна, ніби зроблена з вати.";"5";""
"В твоїх словах стільки сенсу, скільки у порожньому пакетi.";"5";""
"Ти — втілення майстерності нічого не досягати.";"5";""
"Твої аргументи такі гострі, як розмоклий папір.";"5";""
"Дякую за твої поради — ніколи більше не буду слухати їх.";"5";""
"Ти віртуоз обгортань пустоти пафосом.";"5";""
"Твої вчинки говорять більше за слова… зокрема, про провали.";"5";""
"Ніколи не уявляв, що можна бути таким ефективним в ігнорі.";"5";""
"Твої пояснення такі ясні, як калейдоскоп у тумані.";"5";""
"Твої думки блищать… наче ковбик гною.";"5";""
"Твоя присутність нагадує важкий вітер у пустелі.";"5";""
"Ці слова — справжня бомба в жопі здорового глузду.";"5";""
"Твоя щирість вражає… як пластикова троянда.";"5";""
"Ти — король епічних фейлів, і корона тобі пасує.";"5";""
"Твоя компетентність дивує… в негативному сенсі.";"5";""
"Твоя здатність ускладнювати просте — справжній дар природи.";"5";""
"Ніхто не зробить більше нічого, ніж ти.";"5";""
"Твої аргументи такі вагомі, як порожній міхур.";"5";""
"Твоя кмітливість компенсується відсутністю будь-яких ідей.";"5";""
"Дякую за цей урок, як не варто робити.";"5";""
"Ти з легкістю руйнуєш атмосферу своїм відсутнім внеском.";"5";""
"О, дивись, геній з безглуздими висновками.";"5";""
"Твоє прагнення до успіху нагадує марафон… але без фінішу.";"5";""
"Твої коментарі – втілення стратегічного марнотратства слів.";"5";""
"Твоє почуття реальності виглядає на межі фантастики.";"5";""
"Ти володар трону марності — з гідністю зайнятості.";"5";""
"О, знову ти з’явився — неначе світанок без сонця.";"5";""
"Ти такий незмінний… як заїжджена платівка провалів.";"5";""
"Неймовірно, як ти встигаєш нічого не робити й при цьому втомлюватися.";"5";""
"Твої аргументи такі переконливі, як липка павутина без павука.";"5";""
"Дякую, що даруєш мені шанс потренувати терпіння.";"5";""
"Ось це рівень — зводити дискусію до власного хаосу.";"5";""
"Твої думки світять… як пожежна машина без світла.";"5";""
"Справді геніально: зберегти ілюзію активності, нічого не роблячи.";"5";""
"Твоя експертиза в порожніх балачках — на світовому рівні.";"5";""
"Цікаво, як ти вмієш і дихати невстигаючи.";"5";""
"Твоя логіка така міцна, як картонні окуляри.";"5";""
"Вражаєш здатністю розігнати будь-яку розумну думку.";"5";""
"Твій ентузіазм у бездіяльності заслуговує медалі.";"5";""
"Твоє вміння голосно замовчувати будить аплодисменти.";"5";""
"Це просто шедевр — перетворити просту тему на хаос.";"5";""
"Твої поради — як солодощі без цукру: даремні.";"5";""
"Навіть тінь твого креативу здається блідішою за біле.";"5";""
"Ти настільки продуктивний, як сон у присмерку.";"5";""
"Твоя присутність в чаті — як філармонія шуму.";"5";""
"Твій сарказм нагадує порожні обіцянки вітру.";"5";""
"Круто, як ти перетворюєш прості питання на лотерею невдач.";"5";""
"Твої слова так само корисні, як сухий дощ.";"5";""
"Вражаєш майстерністю створювати враження роботи без результату.";"5";""
"Твоя логіка танцює на кістках здорового глузду.";"5";""
