"text";"label"
"""та вже пару років як навчився з ходу казати - ти підор""";"2"
"""в моїй системі координат банальна хуйня - ще гірше ніж похабство""";"0"
"""Хованская резня
Хованская русня

Ніт прощення маргіналам, що допустили трОгедію, ага.""";"2"
"""Жжоский підгар зрозумілий, але та зустріч і таке мала б вскрити.""";"0"
"""Атож, щоби всі крапки над 'і', згодимося, що гімно — люди, а не пісні. ми, старі рокери, не ображаємось, коли нас називають 'говнорями')""";"3"
"""Зам головлікаря займається здебільшого адміністративною працею, в принципі, медосвіта там не дуже потрібна. Хоча... непорядок!)""";"3"
"""це за відставку готарєвої""";"3"
"""хіба борщ не чоловік варить? : )""";"0"
"""І що тепер? О, які ви ефективні у «визволенні» — знищуєте навіть тіні.""";"5"
"""Сєрьожа @Leshchenkos срати їбав на українців. Він кукурікає виключно руснявою, вочевидь, щоб Григорішину читалось легше. Сєрьожа горою стоїть за пропихування риторики свинособак, в Сєрьожи скоро кінець каденції і він з гандона перетвориться на гандона, що був у споживанні.""";"2"
"""Коли шоколад буквально - твої ліки. Льовині зуби і останні два тижні дуже трешового сну плюс спека відкотили позначки мого тиску кудись далеко вниз. Ну і ну. Безвольна тряпочка Яна.""";"0"
"""Ви дрисні без сенсу""";"1"
"""Негайно, Затули свою смердюч пльку і слухй увважно. Твої примхи мені ненакваві.""";"4"
"""Ти чуєш, Перестань захищати псевдозакон — закуй нарешті свої кайдани й дай людям волю.""";"4"
"""Я ж заїбу, й мені таки скажуть""";"3"
"""Андрію, тобі ще один хуй ні до чого.""";"1"
"""Та ну, Твої слова – як дим без вогню.""";"5"
"""Шуруй на всі чотири, Припини верещати і займися справами замість пустих слів""";"4"
"""Русня і рагулі (я не за Польщу зараз, а за орфографію та те, як людина формулює думку) для мене десь на одному щаблі. І ті і ті вороги. Перші явно, другі опосередковано, під впливом 24/7. І не ясно, хто робить гірше при тому.""";"2"
"""ага, в мене так само. правда до RAID ще руки не дійшли (вінти різного розміру, не хочеться втрачати місце).""";"0"
"""https://tass.ru/kosmos/6016757 

от блядь ніколи не сумнівайся в єбанутості москалів""";"2"
"""Мій шеф придурок. ось так.""";"1"
"""НАТО вражає здатністю слухати більше, ніж діяти. аж смішно.""";"5"
"""Ви перетворюєте будь-яку тему на театр абсурду.""";"5"
"""На чесьть жидосвята пропонуїмо жидоакцію:
Єден лайк-єден факт про жидоІзраїль, який ви низнали""";"2"
"""Припини, всім шлюхам шлюха, я щитаю \:DDDDDD дай добряче в диню тому, хто це сказав. ненавиджу, коли таке верзуть -\_\_-""";"4"
"""Дешевих і умовно дешевих сирів жопою жуй в будь якому магазині.""";"4"
"""@VadimKa87 яка вата в Німеччині? Вони тут ненавидять москалів""";"2"
"""Ще один розумник, Ви тонко глузуєте над порожнечею власної безглуздості.""";"5"
"""в мене з нею хороші стосунки.""";"0"
"""Піздєц ні з того ні з сього злякалась сидіть на кухні в однокласниці, вона злякалась шо зі мною і чого я втікла на балкон(відкритий)""";"0"
"""Ваша присутність у медіа — наче ефір без сигналу.""";"5"
"""Та годі, Зсувайся на велодоріжку, придурку, а не влаштовуй перегони з пішоходами.""";"4"
"""Бо гандони Валік забрала, не давши Глібу приміряти""";"3"
"""В мене теж ялинки нема. Так у мене ж дитина в хаті. Добре шо Миколай кладе подарунки під подушку а дідмороз ващє хуй з гори, хай валить подалі""";"3"
"""#Хто\_рано\_встає той у Чорну пятницю більше понакуповує всякого гамна своїм рідним за святковими знижками!""";"3"
"""Коротше, ""Ірма"" підісрала усі плани. і баста.""";"3"
"""Саакашвілі хоче поїхати реформувати грузинські тюрьми з середини.""";"0"
"""Твоя логіка ламається на першому повороті. і баста.""";"5"
"""Твоя експертиза — мов безкоштовний тур у пустелю: багато пилу, нічого цікавого.""";"5"
"""Не маяч про “приватні кейтеринги”, сука гастрономічна, коли в бомбосховищах каша.""";"4"
"""Смішно чути від вірмен: ""как Тімошенко сідіт? такая ж женщіна...жалько."". Про ґендерну рівність навіть згадувати не буду. Її тут не існує :)""";"2"
"""Коли ти даруєш подарунки, але всі вони безглузді. Твій вибір дарунків більш нудний, ніж старий вішак у коридорі.""";"1"
"""бля, да це капєц) я на роботу болт кладу, на все , а їду у Львііів, бо не можу...)""";"0"
"""Швидко, Припини тупити й виріши проблему""";"4"
"""Ти уяви, Ці шкарпетки такі яскраві, що відволікають від твого обличчя.""";"5"
"""Оце так так, Українські соціальні науки великою мірою в такій жопі через те, що ніхто не читає джерела, всі читають підручники.""";"3"
"""\[вітерець хитає ворону на дереві] \[вітер возить пакети по асфальту] \[вітрюган вивертає парасолі] \[вітрисько люто скубе 100-літні дуби] --Ви знаходитесь тут-- \[пекельне торнадо зриває дахи, перевертає машини, несе будиночок з Канзасу в Країну Оз, пиздець рятуйся хто може]""";"0"
"""Там зразу треба слати на хуй""";"4"
"""три з половиною години""";"0"
"""Не крутися як щур у норах, мудак, йди на передок""";"4"
"""Любимого підара,""";"4"
"""По суті, тут навіть немає позитивного героя Обидва ж мудаки і все тут.""";"3"
"""Мда, текаен гандонсько переспівали п'ятницеву стрілу. а я йду вантажити сольник вайта і най робота зачека.""";"3"
"""бляха, я вже навіть забув за то))))""";"0"
"""Такий стиль управління: багато пафосу й ще більше порожніх обіцянок.""";"5"
"""Люблю Шопена, Шакіру, Дебюсі і Стінга. Вінегретик""";"2"
"""Хуйньою треба страждати в компанії однодумців.""";"3"
"""То щось типа- мала ти така класнінька, а тепер пляши і бігай за мною сама. Нахуй не хочеш?))0)""";"4"
"""Твоя кмітливість зникає швидше, ніж твоя мотивація.""";"5"
"""Невже ти, ну а хулі, реально ж йобаний стид""";"1"
"""з дн, підор!""";"2"
"""Ти — король епічних фейлів, і корона тобі пасує.""";"5"
"""Ваш спільний проєкт — мережа для нагляду й переслідувань.""";"5"
"""ціхо-ціхо, а хто казав що не читає книжок... Здається мені, що Юрчик-брехунчик:))) розумієш?""";"1"
"""Затули пасть, с\*\*ара, і йди в народ працювати без імунітету.""";"4"
"""Тільки зараз до мене дійшло, що я - мікроблогер ヽ(°◇° )ノ""";"0"
"""Господі, дай мені душевний пакой, шоб прінять то, чого я не можу ізмєніть, мужества - ізмєніть, то шо можу і терпіння закінчити цих дві злоїбучих таски до кінця дня, а то взарвусь нахєр!!!!!!!!!1111""";"0"
"""Препод каже, що то хуйня все і то не то.""";"3"
"""Пєсков, твоє вміння виправдовуватися — це справжній пиздець журналістської етики.""";"5"
"""Сучари, то ніхуя не нерв. Воно біжить, як людина, що запізнюється, на свою зупинку і ще здавлює, а Яценюк пишу і ржу. Чо я весь день ржу?""";"1"
""", я теж дуже хочу. махнемо кудись обов'язково, мій Лео))""";"0"
"""ТОМУ ТИ ПОМИЛИВСЯ В ОСТАННЬОМУ РІВНЯННІ. говно.""";"1"
"""Взагалі, на русії хєрово все і так було, а тепер на русії ще й бояра.""";"2"
"""Шуруй, Закрий пастку про “зовнішній контроль”, поки весь світ не приєднається до проти тебе санкцій""";"4"
"""Ви перетворюєте будь-яку тему на пиздецьовий лабіринт без виходу.""";"5"
"""Розібрати російські танки на металобрухт, щоб вони служили лише мирним цілям!""";"4"
"""Кому нахуй здався айфон і бугатті, коли перше - хуйня, а друге - зовсім не для укр. доріг.""";"0"
"""Обідцяєш???? Щоб за ті пару годинок впорався""";"0"
"""Ти, блять, Гаврило Принцип, узбагой свої таланти і баста.""";"1"
"""Дізналась про існування в Латвії жіночого імені Леокардія. Піздєц, за таким ім'ям одразу видно, що батьки хотіли або хлопчика, або просто потрахатися.""";"3"
"""жалко в бджілки у сраці. а це просто руснява ліберота, яка сама не знає, що воно хоче.""";"2"
"""усе це під акомпанемент моїх сліз від злості, бо рідного батька нахуй не пошлеш""";"3"
"""Та ба, Твій шарф такий довгий, ніби ти ховаєш свою невпевненість.""";"5"
"""Здається китайці & братушки"" руснявих збираються насрати на спину Вові.""";"3"
"""а так як я не в гуморі то зараз позабанюю нахуй з вашим третім сінтябрям \*вібачте і баста.""";"3"
"""Твій розум загубився у лабіринті власної дурості.""";"1"
"""у нас на Чернігівщині заєбєнно говорять русько-укро-білоруською.""";"0"
"""якесь довбоблядство (  він же навпаки проти волдеморта""";"1"
"""Як казав один мущіна піздарікі на волшебном шарікє""""";"2"
"""У мене просто історик - дебіл кончений розумієш?""";"1"
"""Зникни, Не пси народу!""";"4"
"""Ти старший за свої надії, і вони вже теж посивіли.""";"5"
"""- Я поняла, шо у мене нема типу.""";"0"
"""Невже, Треба спати, бо завтра маю прокинутися о сьомій, або хоча б о 8. Надіюсь, шо ота хуйня по типу браслету спрацює.""";"3"
"""Люди з алергію на алкоголь піздєц які нещасні. і що тепер?""";"3"
"""Затули пельку зі своїми “темними справами”, сука двірова""";"4"
"""Припини верещати, ніхто тебе не слухає.""";"4"
"""Ще один розумник, О, ви закликаєте заощаджувати воду, рушник у руках при цьому змочуєте двічі.""";"5"
"""Ти на цій фотці нагадала мені мою вчительку з зарубіжної літератури, яка мені дуже подобалася))""";"0"
"""Не шуруй по плитці, сцикун, твої шини — не ніж для бабусь.""";"4"
"""один з улюблених будинкiв в Києвi""";"0"
"""Неа, я єбаний""";"0"
"""ну я б скоріше сказав школота. та я теж вже забив, їх на довго не вистачає (особливо, якщо ввічливо спілкуватися) — скочуються в УГ""";"3"
"""дякусі Олю :*""";"0"
"""Я про кіно""";"0"
"""бля, та це ж тупо піздєц. вони там всі хворі на всю голову.""";"3"
"""Припини, Очікування гарно дьоргає за нерви,коли через хвилину тобі можуть сказати ""іди на хуй!""";"4"
"""«Не можна вірити жодному єврею — це їхня природа»""";"2"
"""Я тут сиджу Розбираюся з міфологією і психосоматикою І думаю, що може я таки не тєхнарь""";"0"
"""Хочеться лозинами пиздити тих, хто говорить оплОчен"".""";"3"
"""Глянула кілька інтерв'юх з Полуніним. Як же в коментах москалів ковбасить, що в нього наш герб на руці""";"2"
"""Серце надто сильно б\`ється. Значить, біт вже є, додати гітар - і хіт готовий. Так, я жартую як мудак.""";"0"
